loss,values
8.719055,240.15114
8.373444,240.63333
8.072998,241.11063
8.519836,241.59523
8.973846,242.06833
8.501184,242.54001
8.93512,243.01706
8.371735,243.48112
8.484148,243.96986
7.9626465,244.44418
8.754517,244.91302
8.122768,245.39214
8.231567,245.86452
8.927141,246.35063
9.055128,246.82306
8.29599,247.29477
7.6245728,247.7703
8.231598,248.25125
8.668304,248.72047
8.156311,249.19557
8.481873,249.66347
8.029449,250.13972
8.2565,250.6185
8.253682,251.09102
8.167839,251.5705
8.692261,252.03943
8.238556,252.51234
8.279266,252.99832
8.137039,253.46878
8.295776,253.9362
8.768555,254.41125
8.3280945,254.88562
8.740744,255.34842
7.7645874,255.8165
8.115997,256.2897
8.19104,256.75946
8.4817505,257.22504
8.492537,257.70642
7.719116,258.1813
8.38681,258.65088
8.316132,259.1237
8.691437,259.5902
7.9665833,260.0594
8.707428,260.54126
8.690491,261.02292
8.436249,261.49637
7.787201,261.96637
8.53178,262.43622
8.443512,262.90778
8.380798,263.3904
8.004578,263.8693
8.256836,264.3289
8.320801,264.80246
8.259436,265.2729
8.419037,265.7466
8.367928,266.21725
8.045776,266.69098
8.476593,267.16217
8.501953,267.61847
8.41806,268.0918
7.7113304,268.55286
7.8525114,269.0163
8.592804,269.48553
8.416412,269.96014
8.295498,270.43463
8.800049,270.90433
8.440216,271.38232
7.920624,271.8577
8.680752,272.33276
8.684509,272.80942
8.097382,273.27936
8.973972,273.75293
7.877349,274.2241
8.57019,274.68805
8.112981,275.15784
9.039867,275.6223
8.321259,276.0946
8.857758,276.563
8.233948,277.03076
8.182662,277.50244
8.485046,277.97482
7.9193807,278.4344
8.474701,278.8933
8.440857,279.35638
8.983002,279.8161
8.280212,280.26404
8.689928,280.74725
7.998352,281.21655
8.491913,281.67487
8.75885,282.14325
8.374427,282.61566
8.365845,283.08344
8.023621,283.5541
8.163635,284.01715
8.859125,284.48856
8.817902,284.94794
